tempo,spectral_centroid,zero_crossing_rate,contrast,flatness
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,0.0,0.0,12.268020245671657,1.0000007
129.19921875,4996.507614026052,0.0,12.268020245671657,1.0000007
129.19921875,4380.587691125371,0.0,12.268020245671657,1.0000007
129.19921875,5448.689797239704,0.0595703125,12.268020245671657,1.0000007
129.19921875,5257.76816103147,0.1416015625,0.8389835257059488,0.45448276
129.19921875,2560.5796639112236,0.15576171875,19.234678266123602,0.026344346
129.19921875,2357.9953272155244,0.16064453125,17.436708818635243,0.020577688
129.19921875,1985.8641708918979,0.11083984375,21.874101049746297,0.0070664017
129.19921875,1374.88769388224,0.041015625,23.098596236486735,0.0018647319
129.19921875,1123.0508850076656,0.03564453125,19.527650754494065,0.0007748691
129.19921875,1009.4236540967249,0.04052734375,18.752796117641278,0.00038773674
129.19921875,925.4497429178549,0.0439453125,28.186190429457106,0.00027716553
129.19921875,972.2707284187119,0.04296875,23.850143521820712,0.00033915124
129.19921875,1030.5802038579052,0.0439453125,30.243432178059987,0.0004420576
129.19921875,1019.8200260955349,0.044921875,16.841997513604714,0.00044115345
129.19921875,987.8914836591849,0.041015625,19.520035840854195,0.00034305284
129.19921875,949.7962399507328,0.0390625,21.9635074313871,0.0002845488
129.19921875,939.3171330767002,0.0390625,17.718759835824194,0.00024136451
129.19921875,961.0860018396227,0.03759765625,18.808963616479602,0.00024115294
129.19921875,1271.4858559941565,0.0361328125,25.080594119938382,0.00078242866
129.19921875,1466.9846813986483,0.0341796875,21.025132457374216,0.0013680776
129.19921875,1332.0760398405123,0.0322265625,23.421272076706046,0.0009394828
129.19921875,1047.0686902503066,0.0302734375,25.112733964233467,0.0004099506
129.19921875,855.6674395050737,0.02978515625,23.42067699694594,0.00020415222
129.19921875,807.799461272097,0.02978515625,24.568105280130375,0.0001504761
129.19921875,968.403612453974,0.041015625,28.199696334399476,0.0003836847
